id,FalseSent,OptionA,OptionB,OptionC,label
1266,after a religious awakening she began to travel around,travelling around is not a sign of religion,when she was travelling around temples and churches she suddenly had a religious awakening,her mother suggested her to travel around instead of following her religious awakening,A
1267,I threw away some unnecessary contents and the drawers became cluttered,I decided to lock the drawers shut to avoid unnecessary contents,it was unnecessary contents that made the drawers cluttered,I threw away some broken drawers and the remaining contents made other drawers cluttered,B
1268,the student flaunted his test grade to his pets,the student didn't have many friends in the class,it's the first time that the student got the best grade,someone¡®s pets don't understand his show-off,C
1269,the boy felt homesick at his parent's,the boy was growing up and he would like to travel around the world despite the so called homesick,homesick is a longing for one's home during the absence from it,his parents decided to send him abroad for a further study,B
1270,she designed a rocket and then it flew up into the sky,a rocket requires some time to be assembled,the designer of the rocket was very excited when it flew up into the sky,when she saw a rocket fly up into the sky she was wondering how it was designed,A
1271,the boy murmured his reply when his mother told him to speak up,the boy murmured because he felt what his mother said was reasonable,the boy was having a quarrel with his mother and they spoke loudly to each other,to murmur is to make a soft and indistinct sound,C
1272,he put the tree he just bought into the vase,he picked the flowers under the tree and put them into the vase,a tree is too large to be put into a vase,the vase has a beautiful pattern of trees on it,B
1273,the lipstick on his cheek implied he blushed in front of a woman,no one believed the color on his cheek was blush instead of lipstick,he blushed when he saw the beautiful color of her lipstick,blush is from inside while lipstick needs to be applied,C
1274,the gardener put seeds in the soil to make his plants flourish,he followed the instruction in the weather forecast and put the seeds in the soil,the gardener plowed the ground thoroughly before he put seeds in it,seed grow at a normal rate in soil without additives,C
1275,the pipe burst because the water was unsanitary,unsanitary water usually causes a block in the pipe,the pipe was a sewer that usually passes dirty water,the effect of dirty water is the same as clean water,C
1276,the company lost money due to its positive consumer reviews,some of the consumers commented bad reviews deliberately,positive consumer reviews lead to more buyers therefore increase the sales,the company spent some money to bribe consumers for more positive reviews,B
1277,ben woke up with a toothache so he skipped an appointment with his dentist,his dentist refused to see ben for ben had skipped several appointments without informing him,if he skipped the appointment with his dentist his toothache may not relieve,ben ate too much sugar recently,B
1278,the team lost the game due to the injury of the referee,the referee was accidentally injured when the players were sprinting for the ball,a referee didn't play for any side of the game,the referee couldn't continue his job so the committee replaced him,B
1279,children are not allowed to watch the movie because it's animated,animated movies are becoming popular in recent years,it's time for children to go to bed so they are not allowed to watch the movie,animated movies are usually for kids,C
1280,paul deleted the email for it's an important emailfalse : 1,an important email shouldn't be deleted because the information would disappear,the mailbox tagged the ad email as an important email,he forgot the password of his email so he applied to find it with his phone number,A
