id,FalseSent,ref1,ref2,ref3
5638,Only insect mothers can make milk for their babies.,Insects cannot make milk at all.,insects cannot make milk,"Insects aren't mammals, so make no milk."
5639,My dad has short curly brown eyeballs.,Eyeballs cannot be short or curly.,"Eyeballs are spherical, not curly like hair.",Eyeballs are smooth and round.
5640,The day my new baby brother was born was the same as every other day.,It is impossible to have a new baby brother born every day.,"When a person is born, it always is a memorable day and cannot be the same as every other day.",Birth of a sibling is a unique occasion.
5641,"If you don't eat anything all day, that is called eating fast.","If you don't eat at all, then you are not eating fast.","if you're not eating anything at all all day, then you are not eating fast",eating fast means taking the food faster
5642,"If you're invited to meet the Queen, you are expected to dress sloppily.",Dressing sloppily is not a sign of respect.,The Queen is socially elevated and wearing sloppy clothes would be a sign of disrespect.,Dressign sloppily is disrespectful to the Queen
5643,All baby zebras had mummies that were bunnies.,Mummies that are bunnies only have babies that are bunnies.,"The animals produce or are produced by their own kind, not a different kind of animal.",A mummy is not a baby zebra
5644,There are no cities on the continent of Europe.,Paris and Rome are cities in Europe.,There are cities on the European continent,europe continent has cities
5645,Some lizards fly hundreds of miles every year.,"Lizards do not have wings, and cannot fly.",lizard does not have wings,Lizards do not have wings.
5646,"If you enjoyed college as an adult, you might want to attend school as a child.","If you are already an adult, you won't become a child later.",Adults are prohibited from attending school as students.,Adulthood comes after childhood.
5647,It is perfectly normal for adults to have teeth fall out.,The teeth in an adult's mouth should be permanent.,Adults teeth only fall out if the adults are ill,As an adult if your teeth fall out it is a very bad sign and indicates abnormal oral health.
5648,"On a freezing day, a glass of ice will soon become a glass of water.",Ice will not turn into water unless heat is applied.,Water turns to ice in freezing weather.,"For ice to become water it must be heated, on a cold day it can not heat up."
5649,"Tomorrow cannot be changed, because it already happened.","Tomorrow is the future, and has not happened yet.",tomorrow is in the future and can be changed,Tomorrow is in the future.
5650,"Linda is six years older than her grandmother, Flora.",A grandmother cannot be younger than her granddaughter.,flora is her niece not her granmother,Linda can't be older than her own grandmother.
5651,Daniel inherited his good looks from his stepfather.,You don't inherit any genes from your stepfather.,Daniel isn't related biologically to his step-father.,Daniel's step father has no genetic relation to Daniel.
5652,My uncle hit the golf ball into the hole with his lucky baseball bat..,Baseball bats are designed to hit only baseballs and softballs.,baseball bat is used to hit only baseball,It is extremely rare to hit a golf ball accurate with a baseball bat.
5653,There's not enough water in outer space for us to breathe.,"If you breathe in water, you will choke.",people breathe air,We breathe oxygen.
5654,"To become a cheerleader, you need to be good at math.","Math is a cerebral skill, whereas cheerleading is more physical.","There are a few characteristics helpful to be a cheerleader, but being good at maths isn't one of them.",cheerleading does not use math
5655,Mother stored the pets in neat stacks on the shelves.,Pets move around too much to be stacked on shelves.,Pets are kept in cages or free.,pets are not stored on shelves like items
5656,"Unfortunately, rabbits went extinct thousands of years ago.",I've seen plenty of rabbits in the last few years.,Rabbits are not extinct.,rabbits still exist to this day
5657,I've never seen a chicken with legs before.,"My uncle's chickens like to run around, all day long.","Virtually all chickens have legs, ergo one cannot see a chicken without legs.","All chickens have legs, while they are alive at least."
5658,"It's pretty hard to go to the opera, and not get sandy.",Operas are almost always performed inside posh places.,There is no sand at the opera.,opera is a drama
5659,"My aunt's pumpkin was so ordinary, it won an award.",Awards are given out for pumpkins that are far from ordinary.,ordinary things do not win awards,Awards are not awarded for average things.
5660,The unconcerned teacher asked the student if she felt okay.,People who are unconcerned about students are usually not teachers.,An unconcerned person would not care about another person's wellbeing,The teacher isn't bothered and wouldn't bother asking the student if she felt okay.
5661,The wise old man gave foolish advice to the foolish youth.,Foolish advise is unlikely to come from wise old men.,A wise person usuall gives good advices,a wise man would give wise advice
5662,You would look silly wearing a bathing suit in a swimming pool.,My aunt says a bathing suit is required if you want to go in the swimming pool.,bathing suit is the correct dress in a swimming pool,Bathing suits are the correct clothes to wear in the water
