id,FalseSent,ref1,ref2,ref3
1359,People usually have breakfast after lunch,Lunch is later than breakfast,"Breakfast is eaten before lunch, not afterwards.","Breakfast, or break fast, means 'breaking fast,' is the first meal of the day upon awakening."
1360,He took a nap in the sink,The sink is too small and dirty to sleep in,you cannot nap in a sink,You can't sleep in a sink.
1361,Students usually give lectures to teachers,The teachers' duty is to teach students,Students listen to lectures from teachers.,only teachers give lectures not students
1362,Cinemas usually play movies after the lights are turned on,Too bright lights can affect the effect of a movie playing,Cinemas play movies with lights off,This statement is against common sense because cinemas only play the movie once the lights have been turned off.
1363,He filled the car with water and drove off,Water usually doesn't start a car,"If a car was filled with water, the driver would drown and never be able to drive off.",Car cannot run in water in fuel tank
1364,She often competes with her classmates who are much worse than her,Competitiveness comes when two people are equally successful,A person would most likely compete with those who are equal or better than them.,Competition requires people who are at least as good at something as you are.
1365,He threw his hook into the lake to catch elephants,Elephants do not live in the lake,elephants are land mammals and do not live in lakes,One throws hook into lake to catch fish and not elephants
1366,I need newspapers to translate languages I don't understand,Newspapers have no function of translation,newspapers dont translate anything,newspapers doesn't translate languages
1367,Swimmers in swimming competitions usually need to wear down jackets,"Down clothes will sink when they are wet, which will affect athletes' performance",Swimmers in competition wear swim suit.,Swimmers do not wear down jackets at all while swimming
1368,She often observes the stars with a telescope in the daytime,No stars are visible during the day,Stars are not visible in the sunlight.,Stars are not visible during the daytime
1369,He communicated with his friends by newspapers,People don't use newspapers to communicate,Why would he communicate with his friends by newspapers? he could easily communicate with them in other ways.,He can communicate with his friends by just talking to them by phone
1370,Arguing is a way of expressing love between couples,"When arguing, both sides are usually very angry",arguing is not a way of expressing love,Arguing destroys love between couples
1371,Households get dirty after housework,The housework is for cleaning furniture,households get clean after housework,"Housework is a way of cleaning up one's house, not making it dirty."
1372,"In most cases, you need a driving license to go to other countries",Customs will not check the drivings license when people enter or leave the country,"You usually need a passport to travel between countries, not a drivng license.",A driving license is not needed to travel to any country
